,Employer,Job Title,Base Salary,Location,Ethnicity,Gender,Sexual Orientation
635,GOOGLE LLC,DATA SCIENTIST,105000,"SAN FRANCISCO, CA",Black,Transgender Female,Heterosexual
636,GOOGLE LLC,DATA SCIENTIST,105622,"MOUNTAIN VIEW, CA",White,Female,Homosexual
637,GOOGLE LLC,DATA SCIENTIST,124000,"MOUNTAIN VIEW, CA",Pacific Islander,Gender Fluid,Queer
638,GOOGLE LLC,DATA SCIENTIST,124800,"NEW YORK, NY",White,Gender Fluid,Heterosexual
639,GOOGLE LLC,DATA SCIENTIST,124800,"NEW YORK, NY",American Indian,Transgender Female,Homosexual
640,GOOGLE LLC,DATA SCIENTIST,128000,"MOUNTAIN VIEW, CA",Black,Gender Fluid,Pansexual
641,GOOGLE LLC,DATA SCIENTIST,131000,"MOUNTAIN VIEW, CA",Asian,Male,Heterosexual
642,GOOGLE LLC,DATA SCIENTIST,131000,"MOUNTAIN VIEW, CA",Asian,Female,Homosexual
643,GOOGLE LLC,DATA SCIENTIST,131000,"MOUNTAIN VIEW, CA",Asian,Female,Heterosexual
644,GOOGLE LLC,DATA SCIENTIST,131000,"MOUNTAIN VIEW, CA",American Indian,Gender Fluid,Heterosexual
645,GOOGLE LLC,DATA SCIENTIST,136000,"MOUNTAIN VIEW, CA",White,Female,Heterosexual
646,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Hispanic,Male,Pansexual
647,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Hispanic,Female,Bisexual
648,GOOGLE LLC,DATA SCIENTIST,137000,"SUNNYVALE, CA",Asian,Male,Heterosexual
649,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Asexual
650,GOOGLE LLC,DATA SCIENTIST,137000,"PALO ALTO, CA",Hispanic,Non-binary,Heterosexual
651,GOOGLE LLC,DATA SCIENTIST,137000,"SUNNYVALE, CA",White,Female,Fluid
652,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Asian,Male,Homosexual
653,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Female,Homosexual
654,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Asexual
655,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Asian,Female,Heterosexual
656,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Black,Male,Queer
657,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Hispanic,Female,Heterosexual
658,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
659,GOOGLE LLC,DATA SCIENTIST,137000,"SUNNYVALE, CA",White,Male,Heterosexual
660,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Homosexual
661,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Heterosexual
662,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Black,Transgender Male,Heterosexual
663,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Asian,Female,Fluid
664,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Male,Pansexual
665,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",White,Gender Fluid,Heterosexual
666,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Hispanic,Female,Homosexual
667,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Hispanic,Female,Heterosexual
668,GOOGLE LLC,DATA SCIENTIST,137000,"SUNNYVALE, CA",Black,Transgender Male,Bisexual
669,GOOGLE LLC,DATA SCIENTIST,137000,"SUNNYVALE, CA",Asian,Male,Homosexual
670,GOOGLE LLC,DATA SCIENTIST,137000,"MOUNTAIN VIEW, CA",Asian,Female,Pansexual
